list;trials;item;condition;;;D;C;F;size_A;size_B;size_C;size_D;size_E;size_F;color_A;color_B;color_C;color_D;color_E;color_F;form_A;form_B;form_C;form_D;form_E;form_F;noun;sentence_1;sentence_2;context;sharpness
6;6;13;erdf;er;df;R-B;NA;NR-BC;10;4;5;2;3;2;NA;NA;NA;NA;NA;NA;circle;circle;circle;circle;circle;diamond;Aufkleber;Brauchst du den großen runden Aufkleber?;Brauchst du den runden großen Aufkleber?;Wie fragst Du?;blurred
4;7;13;zrcf;zr;cf;NA;NR-CB;R-BC;NA;NA;NA;NA;NA;NA;brown;brown;brown;brown;brown;orange;circle;diamond;diamond;diamond;diamond;diamond;Aufkleber;Brauchst du den braunen runden Aufkleber?;Brauchst du den runden braunen Aufkleber?;Wie fragst Du?;blurred
5;8;13;zrdc;zr;dc;NR-B;R-CB;NA;9;9;10;9;9;5;brown;orange;orange;orange;orange;orange;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen braunen Aufkleber?;Brauchst du den braunen großen Aufkleber?;Wie fragst Du?;blurred
6;9;13;zrdf;zr;df;NR-B;NA;R-BC;9;9;10;9;9;5;NA;NA;NA;NA;NA;NA;circle;diamond;diamond;diamond;diamond;diamond;Aufkleber;Brauchst du den großen runden Aufkleber?;Brauchst du den runden großen Aufkleber?;Wie fragst Du?;blurred
5;1;22;brcf;br;cf;NA;BR-BC;BR-CB;NA;NA;NA;NA;NA;NA;orange;orange;brown;brown;orange;brown;diamond;circle;diamond;diamond;circle;circle;Aufkleber;Brauchst du den orangen diamantförmigen Aufkleber?;Brauchst du den diamantförmigen orangen Aufkleber?;Wie fragst Du?;blurred
6;2;22;brdc;br;dc;BR-A;BR-BC;NA;10;9;1;1;9;4;orange;brown;orange;orange;brown;brown;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen orangen Aufkleber?;Brauchst du den orangen großen Aufkleber?;Wie fragst Du?;blurred
4;3;22;brdf;br;df;BR-A;NA;BR-CB;10;9;1;1;9;4;NA;NA;NA;NA;NA;NA;diamond;circle;diamond;diamond;circle;circle;Aufkleber;Brauchst du den großen diamantförmigen Aufkleber?;Brauchst du den diamantförmigen großen Aufkleber?;Wie fragst Du?;blurred
5;4;22;ercf;er;cf;NA;R-BC;NR-CB;NA;NA;NA;NA;NA;NA;orange;brown;brown;brown;brown;brown;diamond;diamond;diamond;diamond;diamond;circle;Aufkleber;Brauchst du den orangen diamantförmigen Aufkleber?;Brauchst du den diamantförmigen orangen Aufkleber?;Wie fragst Du?;blurred
6;5;22;erdc;er;dc;R-A;NR-CB;NA;10;4;5;3;4;5;brown;brown;brown;brown;brown;orange;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen braunen Aufkleber?;Brauchst du den braunen großen Aufkleber?;Wie fragst Du?;blurred
4;6;22;erdf;er;df;R-A;NA;NR-CB;10;4;5;3;4;5;NA;NA;NA;NA;NA;NA;diamond;diamond;diamond;diamond;diamond;circle;Aufkleber;Brauchst du den großen diamantförmigen Aufkleber?;Brauchst du den diamantförmigen großen Aufkleber?;Wie fragst Du?;blurred
5;7;22;zrcf;zr;cf;NA;NR-CB;R-CB;NA;NA;NA;NA;NA;NA;brown;brown;brown;brown;brown;orange;diamond;circle;circle;circle;circle;circle;Aufkleber;Brauchst du den braunen diamantförmigen Aufkleber?;Brauchst du den diamantförmigen braunen Aufkleber?;Wie fragst Du?;blurred
6;8;22;zrdc;zr;dc;NR-A;R-BC;NA;10;10;9;9;9;3;orange;brown;brown;brown;brown;brown;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen orangen Aufkleber?;Brauchst du den orangen großen Aufkleber?;Wie fragst Du?;blurred
4;9;22;zrdf;zr;df;NR-A;NA;R-CB;10;10;9;9;9;3;NA;NA;NA;NA;NA;NA;diamond;circle;circle;circle;circle;circle;Aufkleber;Brauchst du den großen diamantförmigen Aufkleber?;Brauchst du den diamantförmigen großen Aufkleber?;Wie fragst Du?;blurred
4;1;5;brcf;br;cf;NA;BR-DE;BR-DE;NA;NA;NA;NA;NA;NA;grey;grey;black;black;grey;black;quadrat;star;quadrat;quadrat;star;star;Aufkleber;Brauchst du den grauen quadratischen Aufkleber?;Brauchst du den quadratischen grauen Aufkleber?;Wie fragst Du?;blurred
5;2;5;brdc;br;dc;BR-B;BR-DE;NA;10;10;4;5;9;5;grey;black;grey;grey;black;black;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen grauen Aufkleber?;Brauchst du den grauen großen Aufkleber?;Wie fragst Du?;blurred
6;3;5;brdf;br;df;BR-B;NA;BR-DE;10;10;4;5;9;5;NA;NA;NA;NA;NA;NA;quadrat;star;quadrat;quadrat;star;star;Aufkleber;Brauchst du den großen quadratischen Aufkleber?;Brauchst du den quadratischen großen Aufkleber?;Wie fragst Du?;blurred
4;4;5;ercf;er;cf;NA;R-DE;NR-DE;NA;NA;NA;NA;NA;NA;grey;black;black;black;black;black;quadrat;quadrat;quadrat;quadrat;quadrat;star;Aufkleber;Brauchst du den grauen quadratischen Aufkleber?;Brauchst du den quadratischen grauen Aufkleber?;Wie fragst Du?;blurred
5;5;5;erdc;er;dc;R-B;NR-DE;NA;9;6;3;1;5;1;grey;grey;grey;grey;grey;black;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen grauen Aufkleber?;Brauchst du den grauen großen Aufkleber?;Wie fragst Du?;blurred
6;6;5;erdf;er;df;R-B;NA;NR-DE;9;6;3;1;5;1;NA;NA;NA;NA;NA;NA;quadrat;quadrat;quadrat;quadrat;quadrat;star;Aufkleber;Brauchst du den großen quadratischen Aufkleber?;Brauchst du den quadratischen großen Aufkleber?;Wie fragst Du?;blurred
4;7;5;zrcf;zr;cf;NA;NR-DE;R-DE;NA;NA;NA;NA;NA;NA;grey;grey;grey;grey;grey;black;quadrat;star;star;star;star;star;Aufkleber;Brauchst du den grauen quadratischen Aufkleber?;Brauchst du den quadratischen grauen Aufkleber?;Wie fragst Du?;blurred
5;8;5;zrdc;zr;dc;NR-B;R-DE;NA;10;10;10;10;10;4;grey;black;black;black;black;black;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen grauen Aufkleber?;Brauchst du den grauen großen Aufkleber?;Wie fragst Du?;blurred
6;9;5;zrdf;zr;df;NR-B;NA;R-DE;10;10;10;10;10;4;NA;NA;NA;NA;NA;NA;quadrat;star;star;star;star;star;Aufkleber;Brauchst du den großen quadratischen Aufkleber?;Brauchst du den quadratischen großen Aufkleber?;Wie fragst Du?;blurred
5;1;14;brcf;br;cf;NA;BR-ED;BR-DE;NA;NA;NA;NA;NA;NA;black;black;grey;grey;black;grey;quadrat;star;quadrat;quadrat;star;star;Aufkleber;Brauchst du den schwarzen quadratischen Aufkleber?;Brauchst du den quadratischen schwarzen Aufkleber?;Wie fragst Du?;blurred
6;2;14;brdc;br;dc;BR-A;BR-ED;NA;9;9;4;6;9;4;black;grey;black;black;grey;grey;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen schwarzen Aufkleber?;Brauchst du den schwarzen großen Aufkleber?;Wie fragst Du?;blurred
4;3;14;brdf;br;df;BR-A;NA;BR-DE;9;9;4;6;9;4;NA;NA;NA;NA;NA;NA;quadrat;star;quadrat;quadrat;star;star;Aufkleber;Brauchst du den großen quadratischen Aufkleber?;Brauchst du den quadratischen großen Aufkleber?;Wie fragst Du?;blurred
5;4;14;ercf;er;cf;NA;R-ED;NR-DE;NA;NA;NA;NA;NA;NA;black;grey;grey;grey;grey;grey;quadrat;quadrat;quadrat;quadrat;quadrat;star;Aufkleber;Brauchst du den schwarzen quadratischen Aufkleber?;Brauchst du den quadratischen schwarzen Aufkleber?;Wie fragst Du?;blurred
6;5;14;erdc;er;dc;R-A;NR-ED;NA;10;3;1;4;5;1;black;black;black;black;black;grey;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen schwarzen Aufkleber?;Brauchst du den schwarzen großen Aufkleber?;Wie fragst Du?;blurred
4;6;14;erdf;er;df;R-A;NA;NR-DE;10;3;1;4;5;1;NA;NA;NA;NA;NA;NA;quadrat;quadrat;quadrat;quadrat;quadrat;star;Aufkleber;Brauchst du den großen quadratischen Aufkleber?;Brauchst du den quadratischen großen Aufkleber?;Wie fragst Du?;blurred
5;7;14;zrcf;zr;cf;NA;NR-ED;R-DE;NA;NA;NA;NA;NA;NA;black;black;black;black;black;grey;quadrat;star;star;star;star;star;Aufkleber;Brauchst du den schwarzen quadratischen Aufkleber?;Brauchst du den quadratischen schwarzen Aufkleber?;Wie fragst Du?;blurred
6;8;14;zrdc;zr;dc;NR-A;R-ED;NA;9;9;10;10;10;5;black;grey;grey;grey;grey;grey;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen schwarzen Aufkleber?;Brauchst du den schwarzen großen Aufkleber?;Wie fragst Du?;blurred
4;9;14;zrdf;zr;df;NR-A;NA;R-DE;9;9;10;10;10;5;NA;NA;NA;NA;NA;NA;quadrat;star;star;star;star;star;Aufkleber;Brauchst du den großen quadratischen Aufkleber?;Brauchst du den quadratischen großen Aufkleber?;Wie fragst Du?;blurred
6;1;23;brcf;br;cf;NA;BR-DE;BR-ED;NA;NA;NA;NA;NA;NA;grey;grey;black;black;grey;black;star;quadrat;star;star;quadrat;quadrat;Aufkleber;Brauchst du den grauen sternförmigen Aufkleber?;Brauchst du den sternförmigen grauen Aufkleber?;Wie fragst Du?;blurred
4;2;23;brdc;br;dc;BR-B;BR-DE;NA;10;9;1;2;9;6;grey;black;grey;grey;black;black;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen grauen Aufkleber?;Brauchst du den grauen großen Aufkleber?;Wie fragst Du?;blurred
5;3;23;brdf;br;df;BR-B;NA;BR-ED;10;9;1;2;9;6;NA;NA;NA;NA;NA;NA;star;quadrat;star;star;quadrat;quadrat;Aufkleber;Brauchst du den großen sternförmigen Aufkleber?;Brauchst du den sternförmigen großen Aufkleber?;Wie fragst Du?;blurred
6;4;23;ercf;er;cf;NA;R-DE;NR-ED;NA;NA;NA;NA;NA;NA;grey;black;black;black;black;black;star;star;star;star;star;quadrat;Aufkleber;Brauchst du den grauen sternförmigen Aufkleber?;Brauchst du den sternförmigen grauen Aufkleber?;Wie fragst Du?;blurred
4;5;23;erdc;er;dc;R-B;NR-ED;NA;9;4;2;5;3;6;black;black;black;black;black;grey;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen schwarzen Aufkleber?;Brauchst du den schwarzen großen Aufkleber?;Wie fragst Du?;blurred
5;6;23;erdf;er;df;R-B;NA;NR-ED;9;4;2;5;3;6;NA;NA;NA;NA;NA;NA;star;star;star;star;star;quadrat;Aufkleber;Brauchst du den großen sternförmigen Aufkleber?;Brauchst du den sternförmigen großen Aufkleber?;Wie fragst Du?;blurred
6;7;23;zrcf;zr;cf;NA;NR-ED;R-ED;NA;NA;NA;NA;NA;NA;black;black;black;black;black;grey;star;quadrat;quadrat;quadrat;quadrat;quadrat;Aufkleber;Brauchst du den schwarzen sternförmigen Aufkleber?;Brauchst du den sternförmigen schwarzen Aufkleber?;Wie fragst Du?;blurred
4;8;23;zrdc;zr;dc;NR-B;R-DE;NA;9;10;9;10;9;6;grey;black;black;black;black;black;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen grauen Aufkleber?;Brauchst du den grauen großen Aufkleber?;Wie fragst Du?;blurred
5;9;23;zrdf;zr;df;NR-B;NA;R-ED;9;10;9;10;9;6;NA;NA;NA;NA;NA;NA;star;quadrat;quadrat;quadrat;quadrat;quadrat;Aufkleber;Brauchst du den großen sternförmigen Aufkleber?;Brauchst du den sternförmigen großen Aufkleber?;Wie fragst Du?;blurred
5;1;6;brcf;br;cf;NA;BR-FA;BR-FA;NA;NA;NA;NA;NA;NA;green;green;blue;blue;green;blue;heart;triangle;heart;heart;triangle;triangle;Aufkleber;Brauchst du den grünen herzförmigen Aufkleber?;Brauchst du den herzförmigen grünen Aufkleber?;Wie fragst Du?;blurred
6;2;6;brdc;br;dc;BR-A;BR-FA;NA;9;9;3;6;10;2;green;blue;green;green;blue;blue;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen grünen Aufkleber?;Brauchst du den grünen großen Aufkleber?;Wie fragst Du?;blurred
4;3;6;brdf;br;df;BR-A;NA;BR-FA;9;9;3;6;10;2;NA;NA;NA;NA;NA;NA;heart;triangle;heart;heart;triangle;triangle;Aufkleber;Brauchst du den großen herzförmigen Aufkleber?;Brauchst du den herzförmigen großen Aufkleber?;Wie fragst Du?;blurred
5;4;6;ercf;er;cf;NA;R-FA;NR-FA;NA;NA;NA;NA;NA;NA;green;blue;blue;blue;blue;blue;heart;heart;heart;heart;heart;triangle;Aufkleber;Brauchst du den grünen herzförmigen Aufkleber?;Brauchst du den herzförmigen grünen Aufkleber?;Wie fragst Du?;blurred
6;5;6;erdc;er;dc;R-A;NR-FA;NA;10;1;2;5;3;4;green;green;green;green;green;blue;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen grünen Aufkleber?;Brauchst du den grünen großen Aufkleber?;Wie fragst Du?;blurred
4;6;6;erdf;er;df;R-A;NA;NR-FA;10;1;2;5;3;4;NA;NA;NA;NA;NA;NA;heart;heart;heart;heart;heart;triangle;Aufkleber;Brauchst du den großen herzförmigen Aufkleber?;Brauchst du den herzförmigen großen Aufkleber?;Wie fragst Du?;blurred
5;7;6;zrcf;zr;cf;NA;NR-FA;R-FA;NA;NA;NA;NA;NA;NA;green;green;green;green;green;blue;heart;triangle;triangle;triangle;triangle;triangle;Aufkleber;Brauchst du den grünen herzförmigen Aufkleber?;Brauchst du den herzförmigen grünen Aufkleber?;Wie fragst Du?;blurred
6;8;6;zrdc;zr;dc;NR-A;R-FA;NA;10;9;9;9;9;5;green;blue;blue;blue;blue;blue;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen grünen Aufkleber?;Brauchst du den grünen großen Aufkleber?;Wie fragst Du?;blurred
4;9;6;zrdf;zr;df;NR-A;NA;R-FA;10;9;9;9;9;5;NA;NA;NA;NA;NA;NA;heart;triangle;triangle;triangle;triangle;triangle;Aufkleber;Brauchst du den großen herzförmigen Aufkleber?;Brauchst du den herzförmigen großen Aufkleber?;Wie fragst Du?;blurred
6;1;15;brcf;br;cf;NA;BR-AF;BR-FA;NA;NA;NA;NA;NA;NA;blue;blue;green;green;blue;green;heart;triangle;heart;heart;triangle;triangle;Aufkleber;Brauchst du den blauen herzförmigen Aufkleber?;Brauchst du den herzförmigen blauen Aufkleber?;Wie fragst Du?;blurred
4;2;15;brdc;br;dc;BR-B;BR-AF;NA;9;9;3;1;9;2;blue;green;blue;blue;green;green;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen blauen Aufkleber?;Brauchst du den blauen großen Aufkleber?;Wie fragst Du?;blurred
5;3;15;brdf;br;df;BR-B;NA;BR-FA;9;9;3;1;9;2;NA;NA;NA;NA;NA;NA;heart;triangle;heart;heart;triangle;triangle;Aufkleber;Brauchst du den großen herzförmigen Aufkleber?;Brauchst du den herzförmigen großen Aufkleber?;Wie fragst Du?;blurred
6;4;15;ercf;er;cf;NA;R-AF;NR-FA;NA;NA;NA;NA;NA;NA;blue;green;green;green;green;green;heart;heart;heart;heart;heart;triangle;Aufkleber;Brauchst du den blauen herzförmigen Aufkleber?;Brauchst du den herzförmigen blauen Aufkleber?;Wie fragst Du?;blurred
4;5;15;erdc;er;dc;R-B;NR-AF;NA;10;3;4;1;6;4;blue;blue;blue;blue;blue;green;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen blauen Aufkleber?;Brauchst du den blauen großen Aufkleber?;Wie fragst Du?;blurred
5;6;15;erdf;er;df;R-B;NA;NR-FA;10;3;4;1;6;4;NA;NA;NA;NA;NA;NA;heart;heart;heart;heart;heart;triangle;Aufkleber;Brauchst du den großen herzförmigen Aufkleber?;Brauchst du den herzförmigen großen Aufkleber?;Wie fragst Du?;blurred
6;7;15;zrcf;zr;cf;NA;NR-AF;R-FA;NA;NA;NA;NA;NA;NA;blue;blue;blue;blue;blue;green;heart;triangle;triangle;triangle;triangle;triangle;Aufkleber;Brauchst du den blauen herzförmigen Aufkleber?;Brauchst du den herzförmigen blauen Aufkleber?;Wie fragst Du?;blurred
4;8;15;zrdc;zr;dc;NR-B;R-AF;NA;10;10;9;9;10;4;blue;green;green;green;green;green;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen blauen Aufkleber?;Brauchst du den blauen großen Aufkleber?;Wie fragst Du?;blurred
5;9;15;zrdf;zr;df;NR-B;NA;R-FA;10;10;9;9;10;4;NA;NA;NA;NA;NA;NA;heart;triangle;triangle;triangle;triangle;triangle;Aufkleber;Brauchst du den großen herzförmigen Aufkleber?;Brauchst du den herzförmigen großen Aufkleber?;Wie fragst Du?;blurred
4;1;24;brcf;br;cf;NA;BR-FA;BR-AF;NA;NA;NA;NA;NA;NA;green;green;blue;blue;green;blue;triangle;heart;triangle;triangle;heart;heart;Aufkleber;Brauchst du den grünen dreieckigen Aufkleber?;Brauchst du den dreieckigen grünen Aufkleber?;Wie fragst Du?;blurred
5;2;24;brdc;br;dc;BR-A;BR-FA;NA;9;10;5;6;9;2;green;blue;green;green;blue;blue;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen grünen Aufkleber?;Brauchst du den grünen großen Aufkleber?;Wie fragst Du?;blurred
6;3;24;brdf;br;df;BR-A;NA;BR-AF;9;10;5;6;9;2;NA;NA;NA;NA;NA;NA;triangle;heart;triangle;triangle;heart;heart;Aufkleber;Brauchst du den großen dreieckigen Aufkleber?;Brauchst du den dreieckigen großen Aufkleber?;Wie fragst Du?;blurred
4;4;24;ercf;er;cf;NA;R-FA;NR-AF;NA;NA;NA;NA;NA;NA;green;blue;blue;blue;blue;blue;triangle;triangle;triangle;triangle;triangle;heart;Aufkleber;Brauchst du den grünen dreieckigen Aufkleber?;Brauchst du den dreieckigen grünen Aufkleber?;Wie fragst Du?;blurred
5;5;24;erdc;er;dc;R-A;NR-AF;NA;10;1;3;3;1;3;blue;blue;blue;blue;blue;green;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen blauen Aufkleber?;Brauchst du den blauen großen Aufkleber?;Wie fragst Du?;blurred
6;6;24;erdf;er;df;R-A;NA;NR-AF;10;1;3;3;1;3;NA;NA;NA;NA;NA;NA;triangle;triangle;triangle;triangle;triangle;heart;Aufkleber;Brauchst du den großen dreieckigen Aufkleber?;Brauchst du den dreieckigen großen Aufkleber?;Wie fragst Du?;blurred
4;7;24;zrcf;zr;cf;NA;NR-AF;R-AF;NA;NA;NA;NA;NA;NA;blue;blue;blue;blue;blue;green;triangle;heart;heart;heart;heart;heart;Aufkleber;Brauchst du den blauen dreieckigen Aufkleber?;Brauchst du den dreieckigen blauen Aufkleber?;Wie fragst Du?;blurred
5;8;24;zrdc;zr;dc;NR-A;R-FA;NA;9;9;10;9;10;1;green;blue;blue;blue;blue;blue;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen grünen Aufkleber?;Brauchst du den grünen großen Aufkleber?;Wie fragst Du?;blurred
6;9;24;zrdf;zr;df;NR-A;NA;R-AF;9;9;10;9;10;1;NA;NA;NA;NA;NA;NA;triangle;heart;heart;heart;heart;heart;Aufkleber;Brauchst du den großen dreieckigen Aufkleber?;Brauchst du den dreieckigen großen Aufkleber?;Wie fragst Du?;blurred
6;1;7;brcf;br;cf;NA;BR-AD;BR-AD;NA;NA;NA;NA;NA;NA;blue;blue;grey;grey;blue;grey;triangle;quadrat;triangle;triangle;quadrat;quadrat;Aufkleber;Brauchst du den blauen dreieckigen Aufkleber?;Brauchst du den dreieckigen blauen Aufkleber?;Wie fragst Du?;blurred
4;2;7;brdc;br;dc;BR-A;BR-AD;NA;9;10;4;6;10;5;blue;grey;blue;blue;grey;grey;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen blauen Aufkleber?;Brauchst du den blauen großen Aufkleber?;Wie fragst Du?;blurred
5;3;7;brdf;br;df;BR-A;NA;BR-AD;9;10;4;6;10;5;NA;NA;NA;NA;NA;NA;triangle;quadrat;triangle;triangle;quadrat;quadrat;Aufkleber;Brauchst du den großen dreieckigen Aufkleber?;Brauchst du den dreieckigen großen Aufkleber?;Wie fragst Du?;blurred
6;4;7;ercf;er;cf;NA;R-AD;NR-AD;NA;NA;NA;NA;NA;NA;blue;grey;grey;grey;grey;grey;triangle;triangle;triangle;triangle;triangle;quadrat;Aufkleber;Brauchst du den blauen dreieckigen Aufkleber?;Brauchst du den dreieckigen blauen Aufkleber?;Wie fragst Du?;blurred
4;5;7;erdc;er;dc;R-A;NR-AD;NA;10;3;5;1;6;3;blue;blue;blue;blue;blue;grey;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen blauen Aufkleber?;Brauchst du den blauen großen Aufkleber?;Wie fragst Du?;blurred
5;6;7;erdf;er;df;R-A;NA;NR-AD;10;3;5;1;6;3;NA;NA;NA;NA;NA;NA;triangle;triangle;triangle;triangle;triangle;quadrat;Aufkleber;Brauchst du den großen dreieckigen Aufkleber?;Brauchst du den dreieckigen großen Aufkleber?;Wie fragst Du?;blurred
6;7;7;zrcf;zr;cf;NA;NR-AD;R-AD;NA;NA;NA;NA;NA;NA;blue;blue;blue;blue;blue;grey;triangle;quadrat;quadrat;quadrat;quadrat;quadrat;Aufkleber;Brauchst du den blauen dreieckigen Aufkleber?;Brauchst du den dreieckigen blauen Aufkleber?;Wie fragst Du?;blurred
4;8;7;zrdc;zr;dc;NR-A;R-AD;NA;10;10;10;9;9;4;blue;grey;grey;grey;grey;grey;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen blauen Aufkleber?;Brauchst du den blauen großen Aufkleber?;Wie fragst Du?;blurred
5;9;7;zrdf;zr;df;NR-A;NA;R-AD;10;10;10;9;9;4;NA;NA;NA;NA;NA;NA;triangle;quadrat;quadrat;quadrat;quadrat;quadrat;Aufkleber;Brauchst du den großen dreieckigen Aufkleber?;Brauchst du den dreieckigen großen Aufkleber?;Wie fragst Du?;blurred
4;1;16;brcf;br;cf;NA;BR-DA;BR-AD;NA;NA;NA;NA;NA;NA;grey;grey;blue;blue;grey;blue;triangle;quadrat;triangle;triangle;quadrat;quadrat;Aufkleber;Brauchst du den grauen dreieckigen Aufkleber?;Brauchst du den dreieckigen grauen Aufkleber?;Wie fragst Du?;blurred
5;2;16;brdc;br;dc;BR-B;BR-DA;NA;9;10;1;2;9;1;grey;blue;grey;grey;blue;blue;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen grauen Aufkleber?;Brauchst du den grauen großen Aufkleber?;Wie fragst Du?;blurred
6;3;16;brdf;br;df;BR-B;NA;BR-AD;9;10;1;2;9;1;NA;NA;NA;NA;NA;NA;triangle;quadrat;triangle;triangle;quadrat;quadrat;Aufkleber;Brauchst du den großen dreieckigen Aufkleber?;Brauchst du den dreieckigen großen Aufkleber?;Wie fragst Du?;blurred
4;4;16;ercf;er;cf;NA;R-DA;NR-AD;NA;NA;NA;NA;NA;NA;grey;blue;blue;blue;blue;blue;triangle;triangle;triangle;triangle;triangle;quadrat;Aufkleber;Brauchst du den grauen dreieckigen Aufkleber?;Brauchst du den dreieckigen grauen Aufkleber?;Wie fragst Du?;blurred
5;5;16;erdc;er;dc;R-B;NR-DA;NA;10;6;6;3;5;1;grey;grey;grey;grey;grey;blue;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen grauen Aufkleber?;Brauchst du den grauen großen Aufkleber?;Wie fragst Du?;blurred
6;6;16;erdf;er;df;R-B;NA;NR-AD;10;6;6;3;5;1;NA;NA;NA;NA;NA;NA;triangle;triangle;triangle;triangle;triangle;quadrat;Aufkleber;Brauchst du den großen dreieckigen Aufkleber?;Brauchst du den dreieckigen großen Aufkleber?;Wie fragst Du?;blurred
4;7;16;zrcf;zr;cf;NA;NR-DA;R-AD;NA;NA;NA;NA;NA;NA;grey;grey;grey;grey;grey;blue;triangle;quadrat;quadrat;quadrat;quadrat;quadrat;Aufkleber;Brauchst du den grauen dreieckigen Aufkleber?;Brauchst du den dreieckigen grauen Aufkleber?;Wie fragst Du?;blurred
5;8;16;zrdc;zr;dc;NR-B;R-DA;NA;10;9;9;10;9;5;grey;blue;blue;blue;blue;blue;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen grauen Aufkleber?;Brauchst du den grauen großen Aufkleber?;Wie fragst Du?;blurred
6;9;16;zrdf;zr;df;NR-B;NA;R-AD;10;9;9;10;9;5;NA;NA;NA;NA;NA;NA;triangle;quadrat;quadrat;quadrat;quadrat;quadrat;Aufkleber;Brauchst du den großen dreieckigen Aufkleber?;Brauchst du den dreieckigen großen Aufkleber?;Wie fragst Du?;blurred
5;1;25;brcf;br;cf;NA;BR-AD;BR-DA;NA;NA;NA;NA;NA;NA;blue;blue;grey;grey;blue;grey;quadrat;triangle;quadrat;quadrat;triangle;triangle;Aufkleber;Brauchst du den blauen quadratischen Aufkleber?;Brauchst du den quadratischen blauen Aufkleber?;Wie fragst Du?;blurred
6;2;25;brdc;br;dc;BR-A;BR-AD;NA;9;10;6;4;10;1;blue;grey;blue;blue;grey;grey;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen blauen Aufkleber?;Brauchst du den blauen großen Aufkleber?;Wie fragst Du?;blurred
4;3;25;brdf;br;df;BR-A;NA;BR-DA;9;10;6;4;10;1;NA;NA;NA;NA;NA;NA;quadrat;triangle;quadrat;quadrat;triangle;triangle;Aufkleber;Brauchst du den großen quadratischen Aufkleber?;Brauchst du den quadratischen großen Aufkleber?;Wie fragst Du?;blurred
5;4;25;ercf;er;cf;NA;R-AD;NR-DA;NA;NA;NA;NA;NA;NA;blue;grey;grey;grey;grey;grey;quadrat;quadrat;quadrat;quadrat;quadrat;triangle;Aufkleber;Brauchst du den blauen quadratischen Aufkleber?;Brauchst du den quadratischen blauen Aufkleber?;Wie fragst Du?;blurred
6;5;25;erdc;er;dc;R-A;NR-DA;NA;10;5;4;6;5;4;grey;grey;grey;grey;grey;blue;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen grauen Aufkleber?;Brauchst du den grauen großen Aufkleber?;Wie fragst Du?;blurred
4;6;25;erdf;er;df;R-A;NA;NR-DA;10;5;4;6;5;4;NA;NA;NA;NA;NA;NA;quadrat;quadrat;quadrat;quadrat;quadrat;triangle;Aufkleber;Brauchst du den großen quadratischen Aufkleber?;Brauchst du den quadratischen großen Aufkleber?;Wie fragst Du?;blurred
5;7;25;zrcf;zr;cf;NA;NR-DA;R-DA;NA;NA;NA;NA;NA;NA;grey;grey;grey;grey;grey;blue;quadrat;triangle;triangle;triangle;triangle;triangle;Aufkleber;Brauchst du den grauen quadratischen Aufkleber?;Brauchst du den quadratischen grauen Aufkleber?;Wie fragst Du?;blurred
6;8;25;zrdc;zr;dc;NR-A;R-AD;NA;10;9;10;9;10;6;blue;grey;grey;grey;grey;grey;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen blauen Aufkleber?;Brauchst du den blauen großen Aufkleber?;Wie fragst Du?;blurred
4;9;25;zrdf;zr;df;NR-A;NA;R-DA;10;9;10;9;10;6;NA;NA;NA;NA;NA;NA;quadrat;triangle;triangle;triangle;triangle;triangle;Aufkleber;Brauchst du den großen quadratischen Aufkleber?;Brauchst du den quadratischen großen Aufkleber?;Wie fragst Du?;blurred
