list,trials,item,condition,,,D,C,F,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,noun,sentence_1,sentence_2,context
2,8,13,zrdc,zr,dc,NR-B,R-CB,NA,10,10,10,10,9,1,brown,orange,orange,orange,orange,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen großen Aufkleber?,Welche Frage passt besser?
3,9,13,zrdf,zr,df,NR-B,NA,R-BC,10,10,10,10,9,1,NA,NA,NA,NA,NA,NA,circle,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden großen Aufkleber?,Welche Frage passt besser?
2,1,22,brcf,br,cf,NA,BR-BC,BR-CB,NA,NA,NA,NA,NA,NA,orange,orange,brown,brown,orange,brown,diamond,circle,diamond,diamond,circle,circle,Aufkleber,Brauchst du den orangen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen orangen Aufkleber?,Welche Frage passt besser?
3,2,22,brdc,br,dc,BR-A,BR-BC,NA,9,9,1,2,10,2,orange,brown,orange,orange,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
1,3,22,brdf,br,df,BR-A,NA,BR-CB,9,9,1,2,10,2,NA,NA,NA,NA,NA,NA,diamond,circle,diamond,diamond,circle,circle,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du diamantförmigen großen Aufkleber?,Welche Frage passt besser?
2,4,22,ercf,er,cf,NA,R-BC,NR-CB,NA,NA,NA,NA,NA,NA,orange,brown,brown,brown,brown,brown,diamond,diamond,diamond,diamond,diamond,circle,Aufkleber,Brauchst du den orangen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen orangen Aufkleber?,Welche Frage passt besser?
3,5,22,erdc,er,dc,R-A,NR-CB,NA,9,1,1,1,2,3,brown,brown,brown,brown,brown,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen großen Aufkleber?,Welche Frage passt besser?
1,6,22,erdf,er,df,R-A,NA,NR-CB,9,1,1,1,2,3,NA,NA,NA,NA,NA,NA,diamond,diamond,diamond,diamond,diamond,circle,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen großen Aufkleber?,Welche Frage passt besser?
2,7,22,zrcf,zr,cf,NA,NR-CB,R-CB,NA,NA,NA,NA,NA,NA,brown,brown,brown,brown,brown,orange,diamond,circle,circle,circle,circle,circle,Aufkleber,Brauchst du den braunen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen braunen Aufkleber?,Welche Frage passt besser?
3,8,22,zrdc,zr,dc,NR-A,R-BC,NA,9,9,9,10,10,2,orange,brown,brown,brown,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
1,9,22,zrdf,zr,df,NR-A,NA,R-CB,9,9,9,10,10,2,NA,NA,NA,NA,NA,NA,diamond,circle,circle,circle,circle,circle,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen großen Aufkleber?,Welche Frage passt besser?
1,1,5,brcf,br,cf,NA,BR-DE,BR-DE,NA,NA,NA,NA,NA,NA,grey,grey,black,black,grey,black,quadrat,star,quadrat,quadrat,star,star,Aufkleber,Brauchst du den grauen quadratischen Aufkleber?,Brauchst du den quadratischen grauen Aufkleber?,Welche Frage passt besser?
2,2,5,brdc,br,dc,BR-B,BR-DE,NA,9,9,3,2,9,3,grey,black,grey,grey,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den grauen großen Aufkleber?,Welche Frage passt besser?
3,3,5,brdf,br,df,BR-B,NA,BR-DE,9,9,3,2,9,3,NA,NA,NA,NA,NA,NA,quadrat,star,quadrat,quadrat,star,star,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du quadratischen großen Aufkleber?,Welche Frage passt besser?
1,4,5,ercf,er,cf,NA,R-DE,NR-DE,NA,NA,NA,NA,NA,NA,grey,black,black,black,black,black,quadrat,quadrat,quadrat,quadrat,quadrat,star,Aufkleber,Brauchst du den grauen quadratischen Aufkleber?,Brauchst du den quadratischen grauen Aufkleber?,Welche Frage passt besser?
2,5,5,erdc,er,dc,R-B,NR-DE,NA,10,2,2,1,2,1,grey,grey,grey,grey,grey,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den grauen großen Aufkleber?,Welche Frage passt besser?
3,6,5,erdf,er,df,R-B,NA,NR-DE,10,2,2,1,2,1,NA,NA,NA,NA,NA,NA,quadrat,quadrat,quadrat,quadrat,quadrat,star,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du den quadratischen großen Aufkleber?,Welche Frage passt besser?
1,7,5,zrcf,zr,cf,NA,NR-DE,R-DE,NA,NA,NA,NA,NA,NA,grey,grey,grey,grey,grey,black,quadrat,star,star,star,star,star,Aufkleber,Brauchst du den grauen quadratischen Aufkleber?,Brauchst du den quadratischen grauen Aufkleber?,Welche Frage passt besser?
2,8,5,zrdc,zr,dc,NR-B,R-DE,NA,9,10,10,10,9,1,grey,black,black,black,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den grauen großen Aufkleber?,Welche Frage passt besser?
3,9,5,zrdf,zr,df,NR-B,NA,R-DE,9,10,10,10,9,1,NA,NA,NA,NA,NA,NA,quadrat,star,star,star,star,star,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du den quadratischen großen Aufkleber?,Welche Frage passt besser?
2,1,14,brcf,br,cf,NA,BR-ED,BR-DE,NA,NA,NA,NA,NA,NA,black,black,grey,grey,black,grey,quadrat,star,quadrat,quadrat,star,star,Aufkleber,Brauchst du den schwarzen quadratischen Aufkleber?,Brauchst du den quadratischen schwarzen Aufkleber?,Welche Frage passt besser?
3,2,14,brdc,br,dc,BR-A,BR-ED,NA,9,9,2,1,10,1,black,grey,black,black,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen großen Aufkleber?,Welche Frage passt besser?
1,3,14,brdf,br,df,BR-A,NA,BR-DE,9,9,2,1,10,1,NA,NA,NA,NA,NA,NA,quadrat,star,quadrat,quadrat,star,star,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du quadratischen großen Aufkleber?,Welche Frage passt besser?
2,4,14,ercf,er,cf,NA,R-ED,NR-DE,NA,NA,NA,NA,NA,NA,black,grey,grey,grey,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,star,Aufkleber,Brauchst du den schwarzen quadratischen Aufkleber?,Brauchst du den quadratischen schwarzen Aufkleber?,Welche Frage passt besser?
3,5,14,erdc,er,dc,R-A,NR-ED,NA,10,2,3,3,2,1,black,black,black,black,black,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen großen Aufkleber?,Welche Frage passt besser?
1,6,14,erdf,er,df,R-A,NA,NR-DE,10,2,3,3,2,1,NA,NA,NA,NA,NA,NA,quadrat,quadrat,quadrat,quadrat,quadrat,star,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du den quadratischen großen Aufkleber?,Welche Frage passt besser?
2,7,14,zrcf,zr,cf,NA,NR-ED,R-DE,NA,NA,NA,NA,NA,NA,black,black,black,black,black,grey,quadrat,star,star,star,star,star,Aufkleber,Brauchst du den schwarzen quadratischen Aufkleber?,Brauchst du den quadratischen schwarzen Aufkleber?,Welche Frage passt besser?
3,8,14,zrdc,zr,dc,NR-A,R-ED,NA,9,9,10,9,9,3,black,grey,grey,grey,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen großen Aufkleber?,Welche Frage passt besser?
1,9,14,zrdf,zr,df,NR-A,NA,R-DE,9,9,10,9,9,3,NA,NA,NA,NA,NA,NA,quadrat,star,star,star,star,star,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du den quadratischen großen Aufkleber?,Welche Frage passt besser?
3,1,23,brcf,br,cf,NA,BR-DE,BR-ED,NA,NA,NA,NA,NA,NA,grey,grey,black,black,grey,black,star,quadrat,star,star,quadrat,quadrat,Aufkleber,Brauchst du den grauen sternförmigen Aufkleber?,Brauchst du den sternförmigen grauen Aufkleber?,Welche Frage passt besser?
1,2,23,brdc,br,dc,BR-B,BR-DE,NA,10,10,1,1,9,2,grey,black,grey,grey,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den grauen großen Aufkleber?,Welche Frage passt besser?
2,3,23,brdf,br,df,BR-B,NA,BR-ED,10,10,1,1,9,2,NA,NA,NA,NA,NA,NA,star,quadrat,star,star,quadrat,quadrat,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du sternförmigen großen Aufkleber?,Welche Frage passt besser?
3,4,23,ercf,er,cf,NA,R-DE,NR-ED,NA,NA,NA,NA,NA,NA,grey,black,black,black,black,black,star,star,star,star,star,quadrat,Aufkleber,Brauchst du den grauen sternförmigen Aufkleber?,Brauchst du den sternförmigen grauen Aufkleber?,Welche Frage passt besser?
1,5,23,erdc,er,dc,R-B,NR-ED,NA,10,1,3,2,3,3,black,black,black,black,black,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen großen Aufkleber?,Welche Frage passt besser?
2,6,23,erdf,er,df,R-B,NA,NR-ED,10,1,3,2,3,3,NA,NA,NA,NA,NA,NA,star,star,star,star,star,quadrat,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen großen Aufkleber?,Welche Frage passt besser?
3,7,23,zrcf,zr,cf,NA,NR-ED,R-ED,NA,NA,NA,NA,NA,NA,black,black,black,black,black,grey,star,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,Brauchst du den schwarzen sternförmigen Aufkleber?,Brauchst du den sternförmigen schwarzen Aufkleber?,Welche Frage passt besser?
1,8,23,zrdc,zr,dc,NR-B,R-DE,NA,10,9,10,10,9,2,grey,black,black,black,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den grauen großen Aufkleber?,Welche Frage passt besser?
2,9,23,zrdf,zr,df,NR-B,NA,R-ED,10,9,10,10,9,2,NA,NA,NA,NA,NA,NA,star,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen großen Aufkleber?,Welche Frage passt besser?
2,1,6,brcf,br,cf,NA,BR-FA,BR-FA,NA,NA,NA,NA,NA,NA,green,green,blue,blue,green,blue,heart,triangle,heart,heart,triangle,triangle,Aufkleber,Brauchst du den grünen herzförmigen Aufkleber?,Brauchst du den herzförmigen grünen Aufkleber?,Welche Frage passt besser?
3,2,6,brdc,br,dc,BR-A,BR-FA,NA,10,10,1,1,10,3,green,blue,green,green,blue,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den grünen großen Aufkleber?,Welche Frage passt besser?
1,3,6,brdf,br,df,BR-A,NA,BR-FA,10,10,1,1,10,3,NA,NA,NA,NA,NA,NA,heart,triangle,heart,heart,triangle,triangle,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du herzförmigen großen Aufkleber?,Welche Frage passt besser?
2,4,6,ercf,er,cf,NA,R-FA,NR-FA,NA,NA,NA,NA,NA,NA,green,blue,blue,blue,blue,blue,heart,heart,heart,heart,heart,triangle,Aufkleber,Brauchst du den grünen herzförmigen Aufkleber?,Brauchst du den herzförmigen grünen Aufkleber?,Welche Frage passt besser?
3,5,6,erdc,er,dc,R-A,NR-FA,NA,10,3,1,3,3,3,green,green,green,green,green,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den grünen großen Aufkleber?,Welche Frage passt besser?
1,6,6,erdf,er,df,R-A,NA,NR-FA,10,3,1,3,3,3,NA,NA,NA,NA,NA,NA,heart,heart,heart,heart,heart,triangle,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du den herzförmigen großen Aufkleber?,Welche Frage passt besser?
2,7,6,zrcf,zr,cf,NA,NR-FA,R-FA,NA,NA,NA,NA,NA,NA,green,green,green,green,green,blue,heart,triangle,triangle,triangle,triangle,triangle,Aufkleber,Brauchst du den grünen herzförmigen Aufkleber?,Brauchst du den herzförmigen grünen Aufkleber?,Welche Frage passt besser?
3,8,6,zrdc,zr,dc,NR-A,R-FA,NA,10,10,10,9,10,1,green,blue,blue,blue,blue,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den grünen großen Aufkleber?,Welche Frage passt besser?
1,9,6,zrdf,zr,df,NR-A,NA,R-FA,10,10,10,9,10,1,NA,NA,NA,NA,NA,NA,heart,triangle,triangle,triangle,triangle,triangle,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du den herzförmigen großen Aufkleber?,Welche Frage passt besser?
3,1,15,brcf,br,cf,NA,BR-AF,BR-FA,NA,NA,NA,NA,NA,NA,blue,blue,green,green,blue,green,heart,triangle,heart,heart,triangle,triangle,Aufkleber,Brauchst du den blauen herzförmigen Aufkleber?,Brauchst du den herzförmigen blauen Aufkleber?,Welche Frage passt besser?
1,2,15,brdc,br,dc,BR-B,BR-AF,NA,10,9,2,1,9,1,blue,green,blue,blue,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
2,3,15,brdf,br,df,BR-B,NA,BR-FA,10,9,2,1,9,1,NA,NA,NA,NA,NA,NA,heart,triangle,heart,heart,triangle,triangle,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du herzförmigen großen Aufkleber?,Welche Frage passt besser?
3,4,15,ercf,er,cf,NA,R-AF,NR-FA,NA,NA,NA,NA,NA,NA,blue,green,green,green,green,green,heart,heart,heart,heart,heart,triangle,Aufkleber,Brauchst du den blauen herzförmigen Aufkleber?,Brauchst du den herzförmigen blauen Aufkleber?,Welche Frage passt besser?
1,5,15,erdc,er,dc,R-B,NR-AF,NA,9,3,1,2,3,2,blue,blue,blue,blue,blue,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
2,6,15,erdf,er,df,R-B,NA,NR-FA,9,3,1,2,3,2,NA,NA,NA,NA,NA,NA,heart,heart,heart,heart,heart,triangle,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du den herzförmigen großen Aufkleber?,Welche Frage passt besser?
3,7,15,zrcf,zr,cf,NA,NR-AF,R-FA,NA,NA,NA,NA,NA,NA,blue,blue,blue,blue,blue,green,heart,triangle,triangle,triangle,triangle,triangle,Aufkleber,Brauchst du den blauen herzförmigen Aufkleber?,Brauchst du den herzförmigen blauen Aufkleber?,Welche Frage passt besser?
1,8,15,zrdc,zr,dc,NR-B,R-AF,NA,10,9,10,10,9,1,blue,green,green,green,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
2,9,15,zrdf,zr,df,NR-B,NA,R-FA,10,9,10,10,9,1,NA,NA,NA,NA,NA,NA,heart,triangle,triangle,triangle,triangle,triangle,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du den herzförmigen großen Aufkleber?,Welche Frage passt besser?
1,1,24,brcf,br,cf,NA,BR-FA,BR-AF,NA,NA,NA,NA,NA,NA,green,green,blue,blue,green,blue,triangle,heart,triangle,triangle,heart,heart,Aufkleber,Brauchst du den grünen dreieckigen Aufkleber?,Brauchst du den dreieckigen grünen Aufkleber?,Welche Frage passt besser?
2,2,24,brdc,br,dc,BR-A,BR-FA,NA,9,9,1,1,10,2,green,blue,green,green,blue,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den grünen großen Aufkleber?,Welche Frage passt besser?
3,3,24,brdf,br,df,BR-A,NA,BR-AF,9,9,1,1,10,2,NA,NA,NA,NA,NA,NA,triangle,heart,triangle,triangle,heart,heart,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du dreieckigen großen Aufkleber?,Welche Frage passt besser?
1,4,24,ercf,er,cf,NA,R-FA,NR-AF,NA,NA,NA,NA,NA,NA,green,blue,blue,blue,blue,blue,triangle,triangle,triangle,triangle,triangle,heart,Aufkleber,Brauchst du den grünen dreieckigen Aufkleber?,Brauchst du den dreieckigen grünen Aufkleber?,Welche Frage passt besser?
2,5,24,erdc,er,dc,R-A,NR-AF,NA,9,3,1,2,1,3,blue,blue,blue,blue,blue,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
3,6,24,erdf,er,df,R-A,NA,NR-AF,9,3,1,2,1,3,NA,NA,NA,NA,NA,NA,triangle,triangle,triangle,triangle,triangle,heart,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen großen Aufkleber?,Welche Frage passt besser?
1,7,24,zrcf,zr,cf,NA,NR-AF,R-AF,NA,NA,NA,NA,NA,NA,blue,blue,blue,blue,blue,green,triangle,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den blauen dreieckigen Aufkleber?,Brauchst du den dreieckigen blauen Aufkleber?,Welche Frage passt besser?
2,8,24,zrdc,zr,dc,NR-A,R-FA,NA,9,9,10,10,9,3,green,blue,blue,blue,blue,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den grünen großen Aufkleber?,Welche Frage passt besser?
3,9,24,zrdf,zr,df,NR-A,NA,R-AF,9,9,10,10,9,3,NA,NA,NA,NA,NA,NA,triangle,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen großen Aufkleber?,Welche Frage passt besser?
3,1,7,brcf,br,cf,NA,BR-AD,BR-AD,NA,NA,NA,NA,NA,NA,blue,blue,grey,grey,blue,grey,triangle,quadrat,triangle,triangle,quadrat,quadrat,Aufkleber,Brauchst du den blauen dreieckigen Aufkleber?,Brauchst du den dreieckigen blauen Aufkleber?,Welche Frage passt besser?
1,2,7,brdc,br,dc,BR-A,BR-AD,NA,9,10,2,1,9,3,blue,grey,blue,blue,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
2,3,7,brdf,br,df,BR-A,NA,BR-AD,9,10,2,1,9,3,NA,NA,NA,NA,NA,NA,triangle,quadrat,triangle,triangle,quadrat,quadrat,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du dreieckigen großen Aufkleber?,Welche Frage passt besser?
3,4,7,ercf,er,cf,NA,R-AD,NR-AD,NA,NA,NA,NA,NA,NA,blue,grey,grey,grey,grey,grey,triangle,triangle,triangle,triangle,triangle,quadrat,Aufkleber,Brauchst du den blauen dreieckigen Aufkleber?,Brauchst du den dreieckigen blauen Aufkleber?,Welche Frage passt besser?
1,5,7,erdc,er,dc,R-A,NR-AD,NA,10,3,2,2,1,1,blue,blue,blue,blue,blue,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
2,6,7,erdf,er,df,R-A,NA,NR-AD,10,3,2,2,1,1,NA,NA,NA,NA,NA,NA,triangle,triangle,triangle,triangle,triangle,quadrat,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen großen Aufkleber?,Welche Frage passt besser?
3,7,7,zrcf,zr,cf,NA,NR-AD,R-AD,NA,NA,NA,NA,NA,NA,blue,blue,blue,blue,blue,grey,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,Brauchst du den blauen dreieckigen Aufkleber?,Brauchst du den dreieckigen blauen Aufkleber?,Welche Frage passt besser?
1,8,7,zrdc,zr,dc,NR-A,R-AD,NA,10,10,9,10,10,1,blue,grey,grey,grey,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
2,9,7,zrdf,zr,df,NR-A,NA,R-AD,10,10,9,10,10,1,NA,NA,NA,NA,NA,NA,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen großen Aufkleber?,Welche Frage passt besser?
1,1,16,brcf,br,cf,NA,BR-DA,BR-AD,NA,NA,NA,NA,NA,NA,grey,grey,blue,blue,grey,blue,triangle,quadrat,triangle,triangle,quadrat,quadrat,Aufkleber,Brauchst du den grauen dreieckigen Aufkleber?,Brauchst du den dreieckigen grauen Aufkleber?,Welche Frage passt besser?
2,2,16,brdc,br,dc,BR-B,BR-DA,NA,10,9,2,2,10,2,grey,blue,grey,grey,blue,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den grauen großen Aufkleber?,Welche Frage passt besser?
3,3,16,brdf,br,df,BR-B,NA,BR-AD,10,9,2,2,10,2,NA,NA,NA,NA,NA,NA,triangle,quadrat,triangle,triangle,quadrat,quadrat,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du dreieckigen großen Aufkleber?,Welche Frage passt besser?
1,4,16,ercf,er,cf,NA,R-DA,NR-AD,NA,NA,NA,NA,NA,NA,grey,blue,blue,blue,blue,blue,triangle,triangle,triangle,triangle,triangle,quadrat,Aufkleber,Brauchst du den grauen dreieckigen Aufkleber?,Brauchst du den dreieckigen grauen Aufkleber?,Welche Frage passt besser?
2,5,16,erdc,er,dc,R-B,NR-DA,NA,9,3,3,1,2,2,grey,grey,grey,grey,grey,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den grauen großen Aufkleber?,Welche Frage passt besser?
3,6,16,erdf,er,df,R-B,NA,NR-AD,9,3,3,1,2,2,NA,NA,NA,NA,NA,NA,triangle,triangle,triangle,triangle,triangle,quadrat,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen großen Aufkleber?,Welche Frage passt besser?
1,7,16,zrcf,zr,cf,NA,NR-DA,R-AD,NA,NA,NA,NA,NA,NA,grey,grey,grey,grey,grey,blue,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,Brauchst du den grauen dreieckigen Aufkleber?,Brauchst du den dreieckigen grauen Aufkleber?,Welche Frage passt besser?
2,8,16,zrdc,zr,dc,NR-B,R-DA,NA,10,9,9,9,10,1,grey,blue,blue,blue,blue,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den grauen großen Aufkleber?,Welche Frage passt besser?
3,9,16,zrdf,zr,df,NR-B,NA,R-AD,10,9,9,9,10,1,NA,NA,NA,NA,NA,NA,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen großen Aufkleber?,Welche Frage passt besser?
2,1,25,brcf,br,cf,NA,BR-AD,BR-DA,NA,NA,NA,NA,NA,NA,blue,blue,grey,grey,blue,grey,quadrat,triangle,quadrat,quadrat,triangle,triangle,Aufkleber,Brauchst du den blauen quadratischen Aufkleber?,Brauchst du den quadratischen blauen Aufkleber?,Welche Frage passt besser?
3,2,25,brdc,br,dc,BR-A,BR-AD,NA,9,10,1,2,10,3,blue,grey,blue,blue,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
1,3,25,brdf,br,df,BR-A,NA,BR-DA,9,10,1,2,10,3,NA,NA,NA,NA,NA,NA,quadrat,triangle,quadrat,quadrat,triangle,triangle,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du quadratischen großen Aufkleber?,Welche Frage passt besser?
2,4,25,ercf,er,cf,NA,R-AD,NR-DA,NA,NA,NA,NA,NA,NA,blue,grey,grey,grey,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,triangle,Aufkleber,Brauchst du den blauen quadratischen Aufkleber?,Brauchst du den quadratischen blauen Aufkleber?,Welche Frage passt besser?
3,5,25,erdc,er,dc,R-A,NR-DA,NA,9,1,3,3,3,3,grey,grey,grey,grey,grey,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den grauen großen Aufkleber?,Welche Frage passt besser?
1,6,25,erdf,er,df,R-A,NA,NR-DA,9,1,3,3,3,3,NA,NA,NA,NA,NA,NA,quadrat,quadrat,quadrat,quadrat,quadrat,triangle,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du den quadratischen großen Aufkleber?,Welche Frage passt besser?
2,7,25,zrcf,zr,cf,NA,NR-DA,R-DA,NA,NA,NA,NA,NA,NA,grey,grey,grey,grey,grey,blue,quadrat,triangle,triangle,triangle,triangle,triangle,Aufkleber,Brauchst du den grauen quadratischen Aufkleber?,Brauchst du den quadratischen grauen Aufkleber?,Welche Frage passt besser?
3,8,25,zrdc,zr,dc,NR-A,R-AD,NA,10,9,9,9,9,1,blue,grey,grey,grey,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
1,9,25,zrdf,zr,df,NR-A,NA,R-DA,10,9,9,9,9,1,NA,NA,NA,NA,NA,NA,quadrat,triangle,triangle,triangle,triangle,triangle,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du den quadratischen großen Aufkleber?,Welche Frage passt besser?
1,1,8,brcf,br,cf,NA,BR-BE,BR-BE,NA,NA,NA,NA,NA,NA,orange,orange,black,black,orange,black,diamond,star,diamond,diamond,star,star,Aufkleber,Brauchst du den orangen sternförmigen Aufkleber?,Brauchst du den sternförmigen orangen Aufkleber?,Welche Frage passt besser?
2,2,8,brdc,br,dc,BR-B,BR-BE,NA,10,9,1,2,10,3,orange,black,orange,orange,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
3,3,8,brdf,br,df,BR-B,NA,BR-BE,10,9,1,2,10,3,NA,NA,NA,NA,NA,NA,diamond,star,diamond,diamond,star,star,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du sternförmigen großen Aufkleber?,Welche Frage passt besser?
1,4,8,ercf,er,cf,NA,R-BE,NR-BE,NA,NA,NA,NA,NA,NA,orange,black,black,black,black,black,star,star,star,star,star,diamond,Aufkleber,Brauchst du den orangen sternförmigen Aufkleber?,Brauchst du den sternförmigen orangen Aufkleber?,Welche Frage passt besser?
